epoch,train loss,test loss
1,0.9885,0.9159
2,0.9413,0.7536
3,0.9556,0.7547
4,0.9278,0.7865
5,0.917,0.6668
6,0.9279,0.8
7,0.9196,0.8638
8,0.8828,0.6465
9,0.8942,0.6772
10,0.8318,0.5527
11,0.8308,0.4519
12,0.8875,0.6062
13,0.8339,0.5475
14,0.9189,0.6363
15,0.8457,0.9715
16,0.814,0.4673
17,0.837,0.6129
18,0.7903,0.8249
19,0.7846,0.829
20,0.7719,0.4901
21,0.7589,0.6095
22,0.7116,0.6011
23,0.741,0.6637
24,0.6931,0.5063
25,0.6775,0.4856
26,0.7601,0.451
27,0.6876,0.5475
28,0.7149,0.4547
29,0.7029,0.7078
30,0.6692,0.5335
31,0.6828,0.4587
32,0.6346,0.5001
33,0.6357,0.4286
34,0.6706,0.5256
35,0.5866,0.602
36,0.6256,0.6307
37,0.6141,0.4944
38,0.5639,0.5013
39,0.6501,0.6707
40,0.5605,0.6286
41,0.5599,0.4737
42,0.581,0.7307
43,0.5188,0.3521
44,0.5284,0.4099
45,0.4922,0.3286
46,0.5183,0.3472
47,0.5089,0.5354
48,0.5011,0.3218
49,0.4857,0.309
50,0.5052,0.4393
51,0.5115,0.4554
52,0.4616,0.4557
53,0.4523,0.3837
54,0.4289,0.448
55,0.4915,0.5197
56,0.442,0.2768
57,0.4436,0.2719
58,0.424,0.3084
59,0.5099,0.3278
60,0.4073,0.4109
61,0.4083,0.3413
62,0.439,0.3278
63,0.4459,0.354
64,0.4033,0.4295
65,0.4532,0.4492
66,0.3654,0.2515
67,0.3852,0.3505
68,0.3785,0.2316
69,0.4321,0.2229
70,0.3878,0.283
71,0.3769,0.3735
72,0.4486,0.4461
73,0.4415,0.2455
74,0.3142,0.4133
75,0.4615,0.3389
76,0.4497,0.2895
77,0.345,0.3286
78,0.3418,0.2897
79,0.3567,0.3516
80,0.2961,0.2191
81,0.3845,0.3891
82,0.3793,0.277
83,0.4001,0.2176
84,0.4053,0.2092
85,0.3553,0.2119
86,0.3043,0.371
87,0.302,0.3373
88,0.3987,0.2064
89,0.3116,0.3062
90,0.4388,0.213
91,0.3374,0.2031
92,0.3585,0.2792
93,0.4033,0.2744
94,0.3367,0.2748
95,0.2893,0.2616
96,0.3457,0.2979
97,0.3309,0.2946
98,0.3732,0.1804
99,0.3856,0.1631
100,0.3133,0.23
101,0.2962,0.2006
102,0.325,0.2342
103,0.3032,0.2793
104,0.3568,0.2385
105,0.3431,0.1639
106,0.2818,0.1674
107,0.3485,0.2511
108,0.3411,0.2222
109,0.3397,0.1654
110,0.3375,0.2871
111,0.3358,0.1636
112,0.3436,0.2016
113,0.3385,0.1749
114,0.3214,0.1517
115,0.3294,0.2869
116,0.4196,0.3197
117,0.3771,0.2542
118,0.2966,0.2758
119,0.2937,0.1448
120,0.2491,0.3179
121,0.2993,0.2148
122,0.3011,0.2454
123,0.3415,0.1613
124,0.3532,0.2219
125,0.3335,0.2357
126,0.3127,0.2526
127,0.3203,0.252
128,0.3431,0.2542
129,0.3019,0.2755
130,0.3319,0.2112
131,0.308,0.1734
132,0.3694,0.1585
133,0.3176,0.2168
134,0.3458,0.1587
135,0.3168,0.1862
136,0.3134,0.1416
137,0.2773,0.16
138,0.3238,0.1798
139,0.3421,0.1883
140,0.3236,0.2555
141,0.2855,0.1977
142,0.3144,0.1506
143,0.3317,0.1784
144,0.3298,0.1588
145,0.2727,0.211
146,0.292,0.1669
147,0.3177,0.1347
148,0.3649,0.1615
149,0.3393,0.1805
150,0.3405,0.1782
151,0.3209,0.2714
152,0.299,0.1351
153,0.2628,0.1406
154,0.3092,0.1513
155,0.2678,0.1657
156,0.3274,0.2431
157,0.2833,0.1651
158,0.3354,0.2049
159,0.2955,0.2079
160,0.3585,0.1956
161,0.3774,0.1382
162,0.3122,0.1704
163,0.314,0.1472
164,0.2936,0.1393
165,0.2733,0.1372
166,0.3075,0.2254
167,0.2813,0.18
168,0.3559,0.2115
169,0.2719,0.1451
170,0.3883,0.1432
171,0.3129,0.267
172,0.2723,0.2306
173,0.3238,0.1562
174,0.2829,0.2216
175,0.2745,0.1421
176,0.2745,0.1974
177,0.3433,0.22
178,0.3464,0.1559
179,0.323,0.2177
180,0.2754,0.2111
181,0.3442,0.1839
182,0.2711,0.1151
183,0.2591,0.1478
184,0.2779,0.1443
185,0.3482,0.1948
186,0.2441,0.2151
187,0.276,0.2025
188,0.2778,0.1796
189,0.2585,0.1638
190,0.3035,0.1496
191,0.3225,0.1449
192,0.2588,0.1408
193,0.2889,0.1495
194,0.3346,0.1836
195,0.3014,0.2086
196,0.2976,0.1216
197,0.2757,0.2215
198,0.2808,0.1365
199,0.2501,0.1962
200,0.2804,0.224
